dish_id,split,total_calories,total_mass,total_fat,total_carb,total_protein
dish_1556572657,test,41.399998,36.0,3.852,2.268,0.288
dish_1556573514,test,6.44,23.0,0.092,1.219,0.506
dish_1556575014,test,71.299995,62.0,6.634,3.906,0.496
dish_1556575083,test,27.52,64.0,0.192,5.76,2.176
dish_1556575124,test,4.48,28.0,0.056,0.952,0.196
dish_1556575273,test,103.300003,152.0,6.882,10.618,2.868
dish_1556575327,test,103.300003,152.0,6.882,10.618,2.868
dish_1556575386,test,103.299995,152.0,6.882,10.618,2.868
dish_1556575446,test,103.299995,152.0,6.882,10.618,2.868
dish_1556575499,test,103.299995,152.0,6.882,10.618,2.868
dish_1556575558,test,103.300003,151.0,6.882,10.618,2.868
dish_1557853154,test,18.810001,57.0,0.171,4.56,0.399
dish_1557853229,test,195.929993,126.0,13.23,1.512,15.75
dish_1557853314,test,115.413002,93.0,0.186,27.341999,1.488
dish_1557853429,test,330.152985,276.0,13.586999,33.413998,17.637001
dish_1557861605,test,35.099998,39.0,5.07,0.0,7.176
dish_1557861697,test,13.144,53.0,0.106,3.127,0.53
dish_1557861795,test,13.64,31.0,0.651,1.333,0.992
dish_1557861837,test,61.883999,123.0,5.827,4.46,8.698
dish_1557862345,test,103.949997,63.0,2.268,0.0,19.530001
dish_1557862696,test,19.25,77.0,0.231,3.85,1.386
dish_1557862738,test,319.779999,118.0,22.42,0.0,29.5
dish_1557862783,test,442.97998,258.0,24.919001,3.85,50.416
dish_1557862829,test,5.52,24.0,0.096,0.864,0.696
dish_1557863012,test,3.1,31.0,0.0,0.62,0.31
dish_1557863056,test,75.200005,47.0,7.05,4.23,0.94
dish_1557863104,test,46.0,40.0,4.28,2.52,0.32
dish_1557863170,test,129.820007,142.0,11.426001,8.233999,2.266
dish_1557936555,test,149.279999,96.0,10.08,1.152,12.0
dish_1557936599,test,22.049999,63.0,0.252,4.41,1.512
dish_1557936645,test,11.88,36.0,0.108,2.88,0.252
dish_1557937037,test,25.969999,49.0,0.343,5.88,0.588
dish_1557937079,test,146.069992,27.0,11.339999,0.378,9.99
dish_1557937157,test,355.25,271.0,22.122999,14.700001,24.341999
dish_1557937335,test,47.158001,38.0,0.076,11.172,0.608
dish_1557937427,test,26.434999,17.0,1.785,0.204,2.125
dish_1557937574,test,5.59,13.0,0.065,1.196,0.182
dish_1557937615,test,6.93,21.0,0.063,1.68,0.147
dish_1557937715,test,20.669998,39.0,0.273,4.68,0.468
dish_1557937758,test,106.782997,128.0,2.262,18.932001,3.53
dish_1558026623,test,29.880001,83.0,0.083,7.47,0.415
dish_1558026684,test,24.139999,71.0,0.142,5.68,0.568
dish_1558026714,test,129.839996,24.0,10.08,0.336,8.88
dish_1558026756,test,183.860001,178.0,10.305,13.486,9.863
dish_1558027001,test,20.400002,68.0,0.068,5.168,0.408
dish_1558027057,test,80.665001,65.0,0.13,19.110001,1.04
dish_1558027164,test,162.299988,30.0,12.599999,0.42,11.1
dish_1558027243,test,263.36499,163.0,12.797999,24.698,12.548
dish_1558028007,test,54.669998,71.0,0.071,12.07,1.42
dish_1558028057,test,151.479996,28.0,11.759999,0.392,10.360001
dish_1558028142,test,21.900002,73.0,0.073,5.548,0.438
dish_1558028194,test,228.050003,172.0,11.903999,18.01,12.218
dish_1558028492,test,20.74,61.0,0.122,4.88,0.488
dish_1558028606,test,19.5,65.0,0.065,4.94,0.39
dish_1558028690,test,23.76,66.0,0.066,5.94,0.33
dish_1558028772,test,64.0,192.0,0.253,15.76,1.208
dish_1558029148,test,38.880001,108.0,0.108,9.72,0.54
dish_1558029230,test,88.549995,115.0,0.115,19.550001,2.3
dish_1558029278,test,146.069992,27.0,11.339999,0.378,9.99
dish_1558029324,test,273.5,250.0,11.562999,29.648003,12.83
dish_1558029518,test,137.751007,111.0,0.222,32.633999,1.776
dish_1558029686,test,119.019997,22.0,9.24,0.308,8.14
dish_1558029842,test,22.780001,67.0,0.134,5.36,0.536
dish_1558029923,test,279.550995,200.0,9.596,38.301998,10.452001
dish_1558030182,test,67.759995,88.0,0.088,14.96,1.76
dish_1558030289,test,38.52,107.0,0.107,9.63,0.535
dish_1558030383,test,140.660004,26.0,10.92,0.364,9.62
dish_1558030435,test,246.940002,221.0,11.115,24.954,11.915
dish_1558030724,test,18.300001,61.0,0.061,4.636,0.366
dish_1558030832,test,89.352005,72.0,0.144,21.167999,1.152
dish_1558030910,test,81.149994,15.0,6.3,0.21,5.55
dish_1558030971,test,17.640001,49.0,0.049,4.41,0.245
