ingredient_id,ingredient_name,calories_per_100g,fat_per_100g,carb_per_100g,protein_per_100g
ingr_0000000001,cottage cheese,98.0,4.3,3.4000000000000004,11.0
ingr_0000000002,strawberries,32.99999999999999,0.3,7.999999999999999,0.7000000000000001
ingr_0000000003,garden salad,64.60000000000001,3.3999999999999995,3.2,6.1
ingr_0000000004,bacon,541.0,42.0,1.4000000000000001,37.0
ingr_0000000005,potatoes,77.0,0.09999999999999998,17.0,2.0
ingr_0000000006,caesar salad,44.0,2.1,4.3,3.2
ingr_0000000007,cauliflower,25.0,0.3,5.0,1.7999999999999998
ingr_0000000008,scrambled eggs,148.0,11.0,1.6,10.0
ingr_0000000009,wild rice,119.0,0.4,25.0,5.0
ingr_0000000010,steak,271.0,19.0,0.0,25.0
ingr_0000000011,cheese pizza,265.90000000000003,9.399999999999999,33.5,11.200000000000001
ingr_0000000012,olives,114.99999999999999,10.7,6.3,0.8
ingr_0000000013,berries,56.99999999999999,0.3,13.999999999999998,0.7
ingr_0000000014,asparagus,20.400000000000002,0.1,3.9,2.1999999999999997
ingr_0000000015,hash browns,326.0,22.0,32.0,2.6
ingr_0000000016,brussels sprouts,43.0,0.3,9.0,3.4000000000000004
ingr_0000000017,pasta salad,201.5,11.9,17.3,5.8999999999999995
ingr_0000000019,bread,265.4,4.199999999999999,42.3,13.5
ingr_0000000021,squash,20.5,0.3,3.3999999999999995,0.8999999999999999
ingr_0000000023,brown rice,111.00000000000001,0.8999999999999999,23.0,2.6
ingr_0000000025,beef,250.0,15.0,0.0,26.0
ingr_0000000026,white rice,130.0,0.3,28.000000000000004,2.7
ingr_0000000027,broccoli,35.0,0.4,7.000000000000001,2.4
ingr_0000000028,chicken,165.0,3.5999999999999996,0.0,31.0
ingr_0000000029,mixed greens,28.000000000000004,0.4,5.300000000000001,2.1999999999999997
ingr_0000000030,lettuce,15.000000000000002,0.2,2.9000000000000004,1.4000000000000001
ingr_0000000031,cucumbers,10.0,0.0,2.0,1.0
ingr_0000000032,tomatoes,34.0,0.7000000000000001,6.800000000000001,0.7000000000000001
ingr_0000000033,bell peppers,40.0,0.2,9.0,2.0
ingr_0000000034,celery,16.0,0.2,3.3999999999999995,0.7000000000000001
ingr_0000000035,blue cheese,353.0,28.999999999999996,2.3,21.0
ingr_0000000036,spinach (raw),23.0,0.4,3.5999999999999996,2.9
ingr_0000000037,cantaloupe,34.0,0.19999999999999996,8.0,0.7999999999999998
ingr_0000000038,pineapple,50.0,0.1,13.0,0.5
ingr_0000000039,sausage,344.59999999999997,27.3,4.199999999999999,19.3
ingr_0000000040,raspberries,53.0,0.7000000000000001,12.0,1.2
ingr_0000000041,blackberries,43.0,0.5,9.2,1.4000000000000001
ingr_0000000042,avocado,160.0,15.0,9.000000000000002,2.0
ingr_0000000043,green beans,31.0,0.1,6.999999999999999,1.7999999999999998
ingr_0000000045,carrot,41.0,0.2,10.0,0.9000000000000001
ingr_0000000046,mushroom,22.0,0.3,3.3000000000000003,3.1
ingr_0000000047,corn,96.00000000000001,1.5000000000000002,21.000000000000004,3.4000000000000004
ingr_0000000049,fish,90.0,13.0,0.0,18.4
ingr_0000000050,tofu,73.0,4.8,1.9,8.0
ingr_0000000052,cheese,401.99999999999994,32.99999999999999,1.3,25.0
ingr_0000000054,apple,52.0,0.2,13.999999999999998,0.3
ingr_0000000058,orange,47.0,0.1,12.0,0.8999999999999999
ingr_0000000059,oatmeal,68.0,1.4000000000000001,12.000000000000002,2.4
ingr_0000000060,tortilla,217.99999999999997,2.9,45.0,6.0
ingr_0000000067,syrup,260.0,0.1,67.0,0.0
ingr_0000000070,figs,275.0,0.0,65.0,2.5
ingr_0000000072,kale,49.0,0.7000000000000001,9.0,3.3000000000000003
ingr_0000000073,radishes,16.0,0.1,3.4000000000000004,0.7000000000000001
ingr_0000000074,pasta,131.6,1.0999999999999999,24.8,5.1000000000000005
ingr_0000000077,almonds,578.1,49.50000000000001,22.7,22.400000000000002
ingr_0000000080,turkey bacon,379.7,28.099999999999998,3.1000000000000005,29.100000000000005
ingr_0000000081,pickles,11.0,0.2,2.3000000000000003,0.30000000000000004
ingr_0000000082,pecans,690.0,72.0,14.000000000000002,9.0
ingr_0000000092,wine,85.00000000000001,0.0,2.6,0.1
ingr_0000000094,onions,40.0,0.1,9.0,1.0999999999999999
ingr_0000000095,artichokes,47.0,0.2,11.0,3.3000000000000003
ingr_0000000102,snow peas,81.0,0.4,14.000000000000002,5.0
ingr_0000000105,grilled chicken,226.2,14.899999999999999,0.1,22.6
ingr_0000000112,honeydew melons,36.0,0.1,9.0,0.5
ingr_0000000113,ketchup,112.00000000000001,0.2,26.0,1.3
ingr_0000000116,mayonnaise,680.0000000000001,75.00000000000001,0.6,1.0
ingr_0000000121,watermelon,30.0,0.2,7.6,0.6
ingr_0000000122,garlic,149.0,0.49999999999999994,32.99999999999999,6.4
ingr_0000000124,walnuts,653.3000000000001,64.2,13.900000000000002,15.1
ingr_0000000126,mustard,61.30000000000001,3.3000000000000003,6.000000000000001,3.6999999999999997
ingr_0000000128,egg whites,52.0,0.2,0.7000000000000001,10.0
ingr_0000000129,raisins,299.0,0.49999999999999994,78.99999999999999,3.0999999999999996
ingr_0000000133,shallots,20.0,0.2,3.3000000000000003,1.5000000000000002
ingr_0000000137,succotash,99.0,1.0,20.0,5.0
ingr_0000000140,caesar dressing,44.099999999999994,2.0999999999999996,4.3,3.2
ingr_0000000141,tuna salad,187.0,9.2,9.2,16.2
ingr_0000000148,parmesan cheese,430.69999999999993,28.599999999999998,4.2,38.4
ingr_0000000152,cabbage,21.0,0.5,3.2,1.3
ingr_0000000153,bulgur,342.0,1.3,76.0,12.0
ingr_0000000154,brown sugar,380.0,0.0,98.00000000000001,0.1
ingr_0000000155,chicken thighs,177.2,8.3,0.0,23.900000000000002
ingr_0000000161,olive oil,884.0,100.0,0.0,0.0
ingr_0000000162,parsnips,75.0,0.3,18.0,1.2
ingr_0000000166,grapefruit juice,38.9,0.1,9.1,0.5
ingr_0000000177,tempeh,192.9,10.9,9.3,18.8
ingr_0000000179,eggs,155.50000000000003,10.500000000000002,1.2,12.5
ingr_0000000180,rice noodles,109.00000000000001,0.2,25.0,0.9000000000000001
ingr_0000000187,chickpeas,164.0,2.6,27.0,9.000000000000002
ingr_0000000189,vinegar,0.0,0.0,0.0,0.0
ingr_0000000192,yam,124.1,0.2,29.4,1.6
ingr_0000000194,fried rice,157.7,2.1999999999999997,29.9,4.7
ingr_0000000196,cod,84.7,0.5,0.0,18.9
ingr_0000000200,buttermilk,40.2,0.9000000000000001,4.8,3.3000000000000003
ingr_0000000201,blueberries,57.2,0.3,14.399999999999999,0.7
ingr_0000000203,chili,40.0,0.4,8.9,1.7999999999999998
ingr_0000000205,corn on the cob,106.1,2.4,22.0,3.1
ingr_0000000208,ice cream cones,418.9,7.1,79.0,7.9
ingr_0000000213,pears,57.199999999999996,0.1,15.2,0.4
ingr_0000000221,vegetable oil,886.4000000000001,100.0,0.0,0.0
ingr_0000000238,hominy,72.1,0.8999999999999999,14.3,1.5
ingr_0000000243,mozzarella cheese,277.6,17.099999999999998,3.2,28.000000000000004
ingr_0000000244,chicken breast,165.2,3.5999999999999996,0.0,31.1
ingr_0000000245,wheat bread,246.8,3.3000000000000003,42.1,13.0
ingr_0000000251,tortilla chips,464.20000000000005,15.299999999999999,73.69999999999999,8.600000000000001
